City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Fortuna,US,40.6,-124.16,39.99,100,1,9.17,clear sky
270,Erenhot,CN,43.65,111.98,-11.76,82,0,11.54,clear sky
271,Biloela,AU,-24.42,150.5,74.5,72,100,9.95,moderate rain
272,Hofn,IS,64.25,-15.21,27.23,85,97,13.96,overcast clouds
273,Roebourne,AU,-20.78,117.13,92.52,51,1,19.62,clear sky
274,Lakatoro,VU,-16.1,167.42,84.2,79,75,1.07,light rain
275,Jiangyou,CN,31.77,104.72,50.83,45,85,6.08,overcast clouds
276,Palmer,US,42.16,-72.33,39.2,51,90,12.75,overcast clouds
277,Nador,MA,35.17,-2.93,53.6,76,75,8.05,broken clouds
278,Morondava,MG,-20.28,44.28,85.35,66,100,11.95,overcast clouds
279,Puerto Quijarro,BO,-17.78,-57.77,73.08,87,68,1.99,broken clouds
280,Melbu,NO,68.5,14.83,41.0,64,0,5.82,clear sky
281,Lorengau,PG,-2.02,147.27,85.24,63,100,6.2,overcast clouds
282,Moss Vale,AU,-34.55,150.38,64.0,93,90,10.29,overcast clouds
283,La Ronge,CA,55.1,-105.28,1.4,84,99,2.24,overcast clouds
284,Nedjo,ET,9.5,35.5,77.85,29,0,5.73,clear sky
285,Ketchikan,US,55.34,-131.65,39.2,86,90,16.11,light rain
286,Inirida,CO,3.87,-67.92,72.09,98,100,1.23,moderate rain
287,Tuatapere,NZ,-46.13,167.68,55.96,80,100,4.43,overcast clouds
288,Ushtobe,KZ,45.25,77.98,15.53,94,31,6.35,scattered clouds
289,Columbia,US,34.0,-81.03,42.01,93,1,3.47,clear sky
290,Tambopata,PE,-12.73,-69.18,70.48,99,100,2.08,light rain
291,Cuenca,EC,-2.88,-78.98,53.6,76,100,2.24,overcast clouds
292,Tall Kayf,TR,37.08,41.07,48.2,61,40,6.93,scattered clouds
293,Thaton,MM,16.92,97.37,89.17,36,68,5.88,broken clouds
294,Brownfield,US,33.18,-102.27,48.2,76,90,16.11,overcast clouds
295,Peterhead,GB,57.51,-1.8,36.0,100,27,11.41,scattered clouds
296,Guozhen,CN,34.37,107.36,36.19,59,100,5.03,overcast clouds
297,Balkanabat,TM,39.51,54.37,45.77,51,0,2.86,clear sky
298,Hambantota,LK,6.12,81.12,87.8,70,75,5.82,broken clouds
299,Banda Aceh,ID,5.56,95.32,84.51,70,93,12.15,heavy intensity rain
300,Newport,GB,51.59,-3.0,37.99,97,100,1.01,overcast clouds
301,Minnedosa,CA,50.25,-99.84,-5.8,83,40,4.7,scattered clouds
302,Husavik,IS,66.04,-17.34,24.8,85,90,9.17,light snow
303,Onoda,JP,34.0,131.18,55.4,82,75,14.99,broken clouds
304,Portsmouth,GB,50.8,-1.09,36.0,100,100,0.16,overcast clouds
305,Ouadda,CF,8.08,22.4,91.09,19,0,10.04,clear sky
306,Aurdal,NO,60.92,9.42,26.01,95,100,3.62,overcast clouds
307,Kahului,US,20.89,-156.47,71.6,68,20,10.49,few clouds
308,Bethel,US,41.37,-73.41,37.4,59,1,6.93,clear sky
309,Zyryanka,RU,65.75,150.85,-33.25,80,38,10.38,scattered clouds
310,Necochea,AR,-38.55,-58.74,66.0,92,35,12.91,scattered clouds
311,Maxixe,MZ,-23.86,35.35,87.8,62,75,2.24,broken clouds
