City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Krasnyy Yar,RU,46.53,48.35,23.0,92,90,6.71
98,Salinas,US,36.68,-121.66,46.4,87,1,1.34
99,Nikolskoye,RU,59.7,30.79,28.4,79,75,15.66
100,Kashi,CN,39.45,75.98,23.0,79,90,2.24
101,Atuona,PF,-9.8,-139.03,78.57,75,2,16.71
102,Yarkovo,RU,57.4,67.08,-6.11,90,100,6.55
103,Castro,BR,-24.79,-50.01,60.85,95,4,2.95
104,Provideniya,RU,64.38,-173.3,17.28,94,79,21.7
105,Zyryanka,RU,65.75,150.85,-33.25,80,38,10.38
106,Pingdingshan,CN,33.74,113.3,32.74,71,100,12.86
107,Lethem,GY,3.38,-59.8,76.05,79,28,7.36
108,Rawson,AR,-43.3,-65.1,74.17,56,93,6.15
109,Svetlogorsk,BY,52.63,29.73,36.68,94,100,17.85
110,Amga,RU,60.9,131.96,-44.03,77,81,0.83
111,Kodiak,US,57.79,-152.41,37.4,93,90,14.99
112,Tuatapere,NZ,-46.13,167.68,55.96,80,100,4.43
113,San Quintin,MX,30.48,-115.95,55.08,71,29,6.31
114,Shingu,JP,33.73,135.98,55.4,62,75,4.7
115,Zhangye,CN,38.93,100.45,15.69,81,87,2.95
116,Port Shepstone,ZA,-30.74,30.45,79.65,67,0,6.15
117,Lakatoro,VU,-16.1,167.42,84.2,79,75,1.07
118,Upernavik,GL,72.79,-56.15,24.48,93,100,21.05
119,Sagua La Grande,CU,22.81,-80.08,66.2,93,40,8.05
120,Tiksi,RU,71.69,128.87,-8.5,90,96,4.29
121,Broome,US,42.25,-75.83,30.0,58,90,8.05
122,Aklavik,CA,68.22,-135.01,-7.6,83,95,1.12
123,Ribeira Grande,PT,38.52,-28.7,57.2,62,75,11.41
124,Hambantota,LK,6.12,81.12,87.8,70,75,5.82
125,Veselynove,UA,47.36,31.23,42.8,100,90,17.9
126,Hasaki,JP,35.73,140.83,52.0,62,75,4.7
127,Coracora,PE,-15.03,-73.78,45.7,85,100,3.02
128,Zhuhai,CN,22.28,113.57,84.99,68,0,4.7
129,Mogzon,RU,51.74,111.96,-14.19,85,87,9.51
130,Los Llanos De Aridane,ES,28.66,-17.92,64.4,72,75,8.05
131,Busselton,AU,-33.65,115.33,95.0,25,57,4.0
132,Portel,BR,-1.94,-50.82,75.24,93,95,5.06
133,Barranca,PE,-10.75,-77.77,67.53,90,94,5.32
